Nama Reviewer,Lokasi Reviewer,Tanggal Mereview,Rating,Ulasan,Nama Hotel
Mohit Kumar,,September 2024,3.0,"Place was Good , But The manager Maddy was Rude to us , He wasn’t helpful , Didn’t Listen to us, Made us Checkout in Hurry , Place was ok , But the Behaviour of him was Rude .",Cute Little Gem 10 minutes to Crystal Bay Beach
Arnika,,September 2024,3.0,Ok,Cute Little Gem 10 minutes to Crystal Bay Beach
Yasmin,,Juli 2024,3.0,"The place was very clean & the facility was well maintained.
However, there were some difficulties with the stay. At check-in, the key was handed over to us and shown the room. However, we were not given any times for the kitchen, which is why at 9:40pm we had to look for an alternative in the area to eat something.
The prices of the restaurant are also far more expensive than in the surrounding Warungs. 
Unfortunately, breakfast is missing the extra portion of love. Everything takes quite a long time and is served rather loveless (2 slices of toast with packed jam), it is definitely more possible :)
The scooter rental disappointed us. Were initially positively surprised that the property offers this, but we were provided with a scooter with a completely empty tank and two helmets whose closure was broken. These were only exchanged a little grumpy after being advised. Rather off the beaten path (down to Crystal Bay) and mosquitoes are ubiquitous!",Cute Little Gem 10 minutes to Crystal Bay Beach
Julian,,Mei 2024,3.0,"Overall, ok. 
Noisy construction site next door and bad streets. Everything very clairaudient.",Cute Little Gem 10 minutes to Crystal Bay Beach
Tim,,April 2024,3.0,"All in all, it was okay",Cute Little Gem 10 minutes to Crystal Bay Beach
Anna,,November 2023,3.0,"I think it is missing a face wash, the breakfast is very poor...that if the perfect amphition had an issue and I resolved it at the moment",Cute Little Gem 10 minutes to Crystal Bay Beach
Naomi,,Oktober 2023,3.0,We stayed here for three days. The place was clean and staff friendly. Crystal Beach is easily accessible by scooter.,Cute Little Gem 10 minutes to Crystal Bay Beach
Aneta,,September 2025,4.0,"Overall, the stay was nice, we were just disappointed with the quality of the restaurant at the accommodation and the door that did not close well.",Cute Little Gem 10 minutes to Crystal Bay Beach
Jada,,September 2025,4.0,"The space was so nice and clean. the staff was really nice and helpful… The only negative thing i would have to say is that the bed being next to the outdoor pool is not sound proof! I was laying in bed around 10pm and other guest were really loud in the pool, splashing around and playing music. it was really annoying considering i had to be up extremely early for a travel day. I did go to the lobby to find staff to mention this to them but no one was to be found. Besides that I really liked the place… it was just unfortunate other guests were not considerate of their surroundings.",Cute Little Gem 10 minutes to Crystal Bay Beach
Alizee,,Agustus 2025,4.0,Thanks,Cute Little Gem 10 minutes to Crystal Bay Beach
Dávid,,Juni 2025,4.0,This is the best price-value staying in Nusa Penida! We absolutely loved it! The stuff was very kind and helpful! The food was delicious the room was correct (as in the pictures). I suggest it with warm heart!,Cute Little Gem 10 minutes to Crystal Bay Beach
Kosta,,Juni 2025,4.0,"Beautiful small secluded apartment, in the middle of the jungle. The service staff were super nice! The communal pool was pretty cloudy!",Cute Little Gem 10 minutes to Crystal Bay Beach
Jenny,,April 2025,4.0,"The staff was very friendly. Aris is a Star. ⭐ 
The Room was really specious and clean. 
The breakfast would need a little upgrade. 
Other than that, very cute place to be.",Cute Little Gem 10 minutes to Crystal Bay Beach
Maria,,September 2025,5.0,The workers are very attentive and friendly. We felt very welcome!,Cute Little Gem 10 minutes to Crystal Bay Beach
Kim,,September 2025,5.0,"Excellent stay, clean and impeccable room.
On the other hand, not much around the hotel. It is imperative to have a means of transport.
The hotel restaurant is very good.
I recommend Aris, the hotel driver, for trips or visits. Very nice and funny 😉",Cute Little Gem 10 minutes to Crystal Bay Beach
Andreas,,Juni 2025,5.0,"Great place to stay, just to recommend",Cute Little Gem 10 minutes to Crystal Bay Beach
Laia,,Juni 2025,5.0,"A great stay, the staff is very friendly and helpful. We were very comfortable. We would definitely come back",Cute Little Gem 10 minutes to Crystal Bay Beach
Muhammad,,Juni 2025,5.0,Everything was amazing,Cute Little Gem 10 minutes to Crystal Bay Beach
Trang Min,,Mei 2025,5.0,I had a great experience here. I got the break room true to the advertisement picture. The staff are very friendly. The price of the room was very good compared to the experience I got back,Cute Little Gem 10 minutes to Crystal Bay Beach
Rutwik,,Mei 2025,5.0,"Fabulous place to stay! It's a one-stop shop for everything Nusa Penida. They have a car which picks you up from the port, they organise day trips for you, and have an amazing restaurant. Special shout-out to Aris who showed us around. Would definitely recommend :)",Cute Little Gem 10 minutes to Crystal Bay Beach
Armani,"San Diego, California",September 2025,1.0,So the tile in the room is not slip resistant as you should use when you have a pool. My wife fell and hurt her shoulder very bad. We asked for towels to set on floor on the host did not like we asked for more towels than usual. Host never asked how she was or offered any help. No relief gel not even ice. Never checked up on us. The place at night is extremely noisy. Between chickens cows birds and a barking dog I think o slept like 2 hours. The a/c barley worked. Just the worst experience we have ever had anywhere. Staff was a little bit more responsive but when the host called him after reporting the problem the attitude totally changed. We asked the neighbors and all of them confirmed the floor was very slippery. I’ve been working in construction for 20 years and the non slippery tile obviously is more expensive so this guy cheaped out.  That floor is dangerous. And they just neglected any help or anything.,3 Minutes Walking to Kelingking Beach
Rahul,,Agustus 2025,1.0,Not worth,3 Minutes Walking to Kelingking Beach
Aldin,,Juli 2025,1.0,"Unfortunately, this accommodation in Nusa Penida was a total disaster. Breakfast that can only give you a stomachache. When trying to rent a scooter, they gave us an empty scooter and told us to go refuel ourselves. At the reception, there are always little girls who barely understand and speak English, so communication is via Google Translate and when they call the ""boss.""  The bed linen had stains.  We felt so uncomfortable that we even left the day before!",3 Minutes Walking to Kelingking Beach
Mustafa,"Antalya, Türkiye",Juni 2025,1.0,"Rude and treating me ı domt like this house ac was leaking and location is so deep in the forest u can just se kelinfgang beach thad it
",3 Minutes Walking to Kelingking Beach
Sofian,,Mei 2025,1.0,"The room was nice, but the toilet didn't work and it felt like we were staying in a construction area",3 Minutes Walking to Kelingking Beach
Jovis Tak,"San Francisco, California",September 2025,2.0,"Host was quite slow in responding. Staff seems very unhappy working there and didnt clean our room for 3 days.  Bathroom is old and rustic.
Big high steps to get down to the villa, terrible for your knees.",3 Minutes Walking to Kelingking Beach
Julian,,Agustus 2025,2.0,"The host was super nice and Kelingking beach was very close, also the pool was very nice.
However, we were only able to sleep for 2 hours because of the screaming chickens all night, there was a screaming gecko in our roof that we couldn't find, and the 2 lights on the ceiling stayed on. The door also does not close completely, so in the morning we saw the largest spider we have ever seen on our nightstand.
It is a great stay for 1 night, but if you want to stay longer, I recommend bringing earplugs and a sleeping mask.",3 Minutes Walking to Kelingking Beach
Gévithan,,Juni 2025,2.0,"Host was very responsive.
But the hostesses were rude and unhelpful.
We did not appreciate the condition of the accommodation between stains on the sheets and dirt...",3 Minutes Walking to Kelingking Beach
Cassiano,"San Diego, California",Mei 2025,2.0,"The room felt outdated, with a noisy bed and a straw roof that let in bird sounds, so light sleepers beware. The shower’s spray setting was either scalding hot or cold, with hot lasting only 1-2 minutes. Breakfast was disappointing—omelets and sandwiches were far from the photos and barely edible.
The biggest issue was the rental scooter breaking down. The host blamed me, claiming the road wasn’t suitable, but I saw dozens scooters there. The scooter wouldn’t turn on, despite working fine the previous day. The host sent a Tow truck to pick us up but later demanded I pay 250KR for towing and 150KR for repairs. After arguing, I paid the towing fee to avoid haggling but ended up still missing a snorkeling trip due to him demanding I pay for these fees, which ruined my last day!, but I also shouldn’t have had to pay anything.
The location is walkable to beautiful Kelingking Beach, which drew us here, but I wouldn’t stay again. Skip the scooters and eat elsewhere if you decide to stay.",3 Minutes Walking to Kelingking Beach
Jennifer,,Maret 2025,2.0,"Disappointing value for money & poor communication
Unfortunately, we were very disappointed with us. Communication was bad – we were promised an inclusive breakfast and afterwards they wanted to charge for half the breakfast. The food was of inferior quality, overpriced and the portions were much too small. We were also not satisfied with the surroundings. There were no good restaurants or places to stay longer except the famous Kelingking view point.
The organization of our speedboat tour was also chaotic: The contact person was rude, did not help with the luggage and booked us on much later trips without agreement. Overall, you had the feeling that it was more about the money than the service. Unfortunately not recommended!",3 Minutes Walking to Kelingking Beach
Charline,,September 2025,3.0,"beautiful pool, but unfortunately not a satisfactory room. Bed was not quite clean and the bathroom could also be a little renewed. The contact was very sweet and hassle-free. Great location on Kelingking Beach!",3 Minutes Walking to Kelingking Beach
Stefan,,September 2025,3.0,"In itself a very good location right on the beach, but we arrived and it was a room where you hardly had space and a not so clean bathroom is available. We arrived and the room had a very big fly problem. We had to remove these flies first.  Breakfast was also not the best, the pancakes were not cooked through. 
If you ask nicely at the reception, the in-house taxi service is highly recommended. Despite bad roads, he drove like a luxury chauffeur wherever you wanted to go on the islands.  Communication with the driver also went smoothly. Really a great service. We would give 5 stars for the driver, but the hotel pulls the rating down.",3 Minutes Walking to Kelingking Beach
Érica,,Juli 2025,3.0,"The experience in the hotel was good, the pool is really nice, and we were comfortable.",3 Minutes Walking to Kelingking Beach
Joshua,"Honolulu, Hawaii",Juni 2025,3.0,"Location is perfect for those who want to be in 2 min walking distance from Kelingking Beach! Prime location for the activity. We were able to check it out for a gorgeous sunset and beat the crowd in the morning for the sunrise. The area itself is very rural, make sure to bring cash!!! To our surprise there was a money exchange booth by the beach that accepted cash only for exchange which saved us. The hotel was very peaceful and quiet. Do not expect much from the area as it is very rural and limited with regard to a lot of things to do, other than see Kelingking. Enough home-run cafes. The AirBnb itself served the purpose, however the sheets could have been fresher and the hot water ran for about 2 min. Other than that we think it was a good choice and we enjoyed Kelingking to the fullest.",3 Minutes Walking to Kelingking Beach
Roxanne,,Mei 2025,3.0,"A good location right near Kelingking beach, however the lock to our door didn’t work and it needs updating",3 Minutes Walking to Kelingking Beach
Annie,,April 2025,3.0,The accommodation itself was great but there was a small hole in the ceiling that made birds come in which we did not appreciate. Our room had springs and branches. Got an offer to change rooms but the same problem there with also bird poo on the duvet.  That's why we chose to change homes. But the area was good and the listing matched the pictures.,3 Minutes Walking to Kelingking Beach
Jan,,Maret 2025,3.0,"It would be advisable to invest a little in the property, not done and neglected at the same time",3 Minutes Walking to Kelingking Beach
Laura,,Februari 2025,3.0,"The transfer to the accommodation was organized for us by the host and we were able to pay by card. Rooms were clean and the bed was comfortable. However, in front of the rooms is a large construction site for a pool. When it is finished, it will certainly be nice. Until then, it is unfortunately noisy & the view is accordingly. We stayed one night to be at Kelingking Beach, but the location was unbeatable.  But everyone was super friendly at the place and there was even a small breakfast:) But yes, a construction site should of course be mentioned:/ But for our short stay it was fine now:)",3 Minutes Walking to Kelingking Beach
Ridge,,Februari 2025,3.0,The staff were very friendly and kind,3 Minutes Walking to Kelingking Beach
Vanessa Martina,,September 2025,4.0,"We were happy with the place. It was only a few meters walk to the Kelingking. The complex was small and very nicely designed. Unfortunately, the food was a negative point. Of course, it's always a matter of taste, but for us the food was not good. 
Otherwise, it was a great 2 nights. Depending on what you want to experience... sufficient for us :)",3 Minutes Walking to Kelingking Beach
Joel,,September 2025,4.0,"The location was great, within walking distance to Kelingking Beach, has several very good restaurants and warungs nearby. Accommodation number 1 is a bit outdated, especially the bathroom needs renovation",3 Minutes Walking to Kelingking Beach
Rachel,,Juli 2025,4.0,We were welcomed at the port with a friendly driver who took us directly to our accommodation which took 45 minutes. It was very clean and spacious. The staff were very helpful and friendly and they organized us tours and trips around the island. The location was great as it is walking distance to  Kelingking cliff and the sunset there is incredible.,3 Minutes Walking to Kelingking Beach
Chloée,,Juni 2025,4.0,"Very warm welcome, friendly and smiling staff. Clean and tidy accommodation, identical to the pictures. We arrived early and everything was ready. Good breakfast but not sure if the ice cubes are drinking water. Very busy night with the noise of roosters and geckos, but it's not their fault. Music in the morning from 6 a.m. is disturbing if you are in the accommodation near the reception. Overall we didn't stay there and we had a nice stay.",3 Minutes Walking to Kelingking Beach
Mia,"Whitefish, Montana",Maret 2025,4.0,"Great place to stay if you are wanting to visit Kelingking beach. About a 5 minute walk to the beach overlook. From Banjar Nyuh harbor it’s a 45 minute scooter ride, half on rough dirt roads with extreme potholes (not a fun ride). The place was clean, worth what we paid for. There is pool construction during the day so be aware of that. The host was super responsive and helped with us booking all our fast boat rides which made things easy for us. I personally would not spend more than two nights here because of lack of access to things. Minimal and mid-restaurants. Don’t go to diamond beach, you cannot even swim and a tourist trap. But if you do, do NOT pay for anything (parking, ticket). It’s all a scam. Also do not eat the included breakfast at this accommodation. It’s not good (no offense). We enjoyed “Melt Cafe” about 5 minutes up the road. Also we recommend (if you are fit) to head down to Kelingking beach for sunset and a swim (be careful swimming!). Thank you for the stay!",3 Minutes Walking to Kelingking Beach
Veysel,Famagusta,Januari 2025,4.0,"The place is very close to Kelingking beach as a location, so we booked it, there are restaurants around where you can eat good, there is not much to do in the evening. Nice location for those who want to see Kelingking beach early in the morning.",3 Minutes Walking to Kelingking Beach
Alina,,September 2025,5.0,"Positive: nice location, 5 minutes from famous view. The breakfast was included. Nice staff. The room was clean and large.
Negative: faucet at the sink was not stable and leaking, very much in need of renovation. Sudden strange loud noise in the room (something like that can be really scary).",3 Minutes Walking to Kelingking Beach
Kyle,,September 2025,5.0,"We had a wonderful stay! The place was clean, comfortable, and exactly as described. The host was very welcoming and helpful, making check-in smooth and easy. The location was perfect—close to great restaurants, beaches, and attractions, but still quiet enough to relax. Would definitely stay here again and recommend it to anyone visiting KelingKing Beach
",3 Minutes Walking to Kelingking Beach
Francesco Grispo,,Agustus 2025,5.0,"A place worth booking.
The proximity to the point of interest allows you to enjoy it to the fullest.",3 Minutes Walking to Kelingking Beach
Giulia,,Agustus 2025,5.0,"Very nice place five minutes from Kelingking Beach, super helpful staff, they booked the ferry, arranged the transfer to/from the port and rented a scooter. Breakfast is excellent and you can have it in a very wide time slot. There is a beautiful swimming pool from which you can enjoy a wonderful sunset. In the evening, the peace is incredible, but there are still several excellent restaurants in the area.",3 Minutes Walking to Kelingking Beach
Catherine,,Agustus 2025,5.0,We really enjoyed our stay here! It was in a perfect location for seeing the Kelingking beach views - we stayed for 3 nights and got to see it before the crowds in the morning and saw it at sunset a few times! I Made also organised a snorkeling trip for us and transfers to and from the snorkel beach. We saw some huge manta rays which was probably one of the highlights of our travels! highly recommend :),3 Minutes Walking to Kelingking Beach
Camille,,Juli 2025,5.0,"Very Comfortable, Clean, and safe stay.
The host was very reactive and helpfull. 
The location is very nice.
Same as the manager which was very kind!!
Especially on our way back when he arranged us a shuttle!! thanks a lot again!
Services:
- Possibility to arrange shuttle to Harbour or reverse
- Arrange boat tickets 
- To book Tours
- Swimming Pool very clean
Location: 
- 2mins by walk from the main attraction beach very Nice point that I need to highlight
Nevertheless 2 things to improve:
- the bathroom could be renovated a bit on the last bedroom (shower filter/floor)
- The main plate of the breakfast included
Thanks again for Hosting.",3 Minutes Walking to Kelingking Beach
Jaysilyn,"Provo,Utah",Juli 2025,5.0,"If you’re looking to stay right by KelingKing this is the best spot ever!! We went and saw it for sunset and sunrise and it’s a very quick walk. 
They have scooter parking, the host is very friendly and helpful. And they had great food and drinks as well. The view is beautiful and you have privacy! 
Would absolutely stay here again if I was going to this island.",3 Minutes Walking to Kelingking Beach
Tony,,Juni 2025,5.0,Lovely stay! Tranquil…the stay was good for the night! Peaceful & seren,3 Minutes Walking to Kelingking Beach
Mary,"Seattle, Washington",Mei 2025,5.0,"Place is clean and looked like the photos. Pool was great. The host is friendly and responsive and helped with booking transportation. Location is ideal, less than a 10 min walk to Kelingking beach. I’d stay here again!
",3 Minutes Walking to Kelingking Beach
Fabio,,Januari 2025,5.0,Beautiful place to go for an adventure that can be comfortable but also wild!,3 Minutes Walking to Kelingking Beach
